100 2
3 1017
3 1841
3 723
3 2348
3 124
3 990
3 2074
3 1446
3 1331
3 683
3 84
3 2056
3 1289
3 836
3 3368
3 891
3 731
3 2441
3 2317
3 779
3 674
3 134
3 899
3 2345
3 2022
3 906
3 3392
3 1302
3 789
3 768
3 2057
3 810
3 3348
3 1823
3 921
3 1989
3 2062
3 1216
3 173
3 1773
3 675
3 3346
3 943
3 99
3 234
3 1918
3 2685
3 156
3 654
3 3163
3 110
3 2368
3 985
3 1400
3 784
3 804
3 3335
3 3320
3 2005
3 990
3 809
3 169
3 1231
3 2082
3 975
3 257
3 756
3 2286
3 808
3 245
3 2037
3 138
3 977
3 2412
3 3323
3 1406
3 730
3 2312
3 2360
3 931
3 194
3 910
3 1434
3 1263
3 2356
3 1466
3 2083
3 1712
3 913
3 1929
3 157
3 919
3 938
3 3350
3 3441
3 1316
3 785
3 2697
3 191
3 822
