100 2
3 3377
3 2281
3 1933
3 503
3 580
3 3333
3 558
3 550
3 137
3 791
3 1788
3 211
3 1939
3 871
3 640
3 668
3 1855
3 3301
3 1246
3 1784
3 1972
3 264
3 2283
3 1723
3 126
3 1463
3 822
3 3368
3 1788
3 3342
3 163
3 2082
3 2322
3 897
3 1740
3 751
3 624
3 654
3 1396
3 112
3 2366
3 873
3 761
3 2029
3 971
3 704
3 2339
3 3343
3 2343
3 674
3 2033
3 3305
3 867
3 2683
3 202
3 3320
3 1246
3 1995
3 3315
3 235
3 239
3 189
3 1404
3 1335
3 1855
3 1479
3 1385
3 165
3 996
3 2383
3 800
3 882
3 3352
3 1895
3 131
3 822
3 913
3 962
3 262
3 186
3 763
3 99
3 510
3 1993
3 2333
3 866
3 734
3 697
3 757
3 2307
3 886
3 249
3 520
3 773
3 849
3 2012
3 1435
3 1711
3 2281
3 1859
